"recipe_number","recipe_index","image_number","title","source","download_url","filename"
"13","12","3","Angelica archangelica subsp. archangelica Dzięgiel litwor 2019-06-07 04.jpg","https://commons.wikimedia.org/wiki/File:Angelica_archangelica_subsp._archangelica_Dzi%C4%99giel_litwor_2019-06-07_04.jpg","https://commons.wikimedia.org/wiki/Special:FilePath/Angelica%20archangelica%20subsp.%20archangelica%20Dzi%C4%99giel%20litwor%202019-06-07%2004.jpg","recipe-013-img-03-Angelica_archangelica_subsp._archangelica_Dzi_giel_litwor_2019-06-07_04.jpg"
"14","13","1","Quercus robur Dąb szypułkowy 2015-04-19 Wrocław Las Sołtysowicki 07.jpg","https://commons.wikimedia.org/wiki/File:Quercus_robur_D%C4%85b_szypu%C5%82kowy_2015-04-19_Wroc%C5%82aw_Las_So%C5%82tysowicki_07.jpg","https://commons.wikimedia.org/wiki/Special:FilePath/Quercus%20robur%20D%C4%85b%20szypu%C5%82kowy%202015-04-19%20Wroc%C5%82aw%20Las%20So%C5%82tysowicki%2007.jpg","recipe-014-img-01-Quercus_robur_D_b_szypu_kowy_2015-04-19_Wroc_aw_Las_So_tysowicki_07.jpg"
"15","14","1","Artemisia vulgaris 2018-05-05 1062.jpg","https://commons.wikimedia.org/wiki/File:Artemisia_vulgaris_2018-05-05_1062.jpg","https://commons.wikimedia.org/wiki/Special:FilePath/Artemisia%20vulgaris%202018-05-05%201062.jpg","recipe-015-img-01-Artemisia_vulgaris_2018-05-05_1062.jpg"
"16","15","1","Betonica officinalis kz.jpg","https://commons.wikimedia.org/wiki/File:Betonica_officinalis_kz.jpg","https://commons.wikimedia.org/wiki/Special:FilePath/Betonica%20officinalis%20kz.jpg","recipe-016-img-01-Betonica_officinalis_kz.jpg"
"16","15","2","Stachys officinalis RF.jpg","https://commons.wikimedia.org/wiki/File:Stachys_officinalis_RF.jpg","https://commons.wikimedia.org/wiki/Special:FilePath/Stachys%20officinalis%20RF.jpg","recipe-016-img-02-Stachys_officinalis_RF.jpg"
"17","16","1","P1090247(4x3)-Rosmarinus officinalis (41960388224).jpg","https://commons.wikimedia.org/wiki/File:P1090247(4x3)-Rosmarinus_officinalis_(41960388224).jpg","https://commons.wikimedia.org/wiki/Special:FilePath/P1090247%284x3%29-Rosmarinus%20officinalis%20%2841960388224%29.jpg","recipe-017-img-01-P1090247_4x3_-Rosmarinus_officinalis_41960388224_.jpg"
"18","17","1","Inula helenium 002.JPG","https://commons.wikimedia.org/wiki/File:Inula_helenium_002.JPG","https://commons.wikimedia.org/wiki/Special:FilePath/Inula%20helenium%20002.JPG","recipe-018-img-01-Inula_helenium_002.JPG"
"19","18","1","Bloem van een kerstroos (Helleborus niger) 16-12-2021. (d.j.b) 01.jpg","https://commons.wikimedia.org/wiki/File:Bloem_van_een_kerstroos_(Helleborus_niger)_16-12-2021._(d.j.b)_01.jpg","https://commons.wikimedia.org/wiki/Special:FilePath/Bloem%20van%20een%20kerstroos%20%28Helleborus%20niger%29%2016-12-2021.%20%28d.j.b%29%2001.jpg","recipe-019-img-01-Bloem_van_een_kerstroos_Helleborus_niger_16-12-2021._d.j.b_01.jpg"
"20","19","1","Myroxylon balsamum Seeds on Fallen Tree in Udawattakele 1.jpg","https://commons.wikimedia.org/wiki/File:Myroxylon_balsamum_Seeds_on_Fallen_Tree_in_Udawattakele_1.jpg","https://commons.wikimedia.org/wiki/Special:FilePath/Myroxylon%20balsamum%20Seeds%20on%20Fallen%20Tree%20in%20Udawattakele%201.jpg","recipe-020-img-01-Myroxylon_balsamum_Seeds_on_Fallen_Tree_in_Udawattakele_1.jpg"
"21","20","1","Acorus calamus kz05.jpg","https://commons.wikimedia.org/wiki/File:Acorus_calamus_kz05.jpg","https://commons.wikimedia.org/wiki/Special:FilePath/Acorus%20calamus%20kz05.jpg","recipe-021-img-01-Acorus_calamus_kz05.jpg"
"22","21","1","Marrubium vulgare kz05.jpg","https://commons.wikimedia.org/wiki/File:Marrubium_vulgare_kz05.jpg","https://commons.wikimedia.org/wiki/Special:FilePath/Marrubium%20vulgare%20kz05.jpg","recipe-022-img-01-Marrubium_vulgare_kz05.jpg"
"23","22","1","Valeriana officinalis kz06.jpg","https://commons.wikimedia.org/wiki/File:Valeriana_officinalis_kz06.jpg","https://commons.wikimedia.org/wiki/Special:FilePath/Valeriana%20officinalis%20kz06.jpg","recipe-023-img-01-Valeriana_officinalis_kz06.jpg"
"23","22","2","Humulus lupulus, Montour Trail, 2024-09-19-1.jpg","https://commons.wikimedia.org/wiki/File:Humulus_lupulus,_Montour_Trail,_2024-09-19-1.jpg","https://commons.wikimedia.org/wiki/Special:FilePath/Humulus%20lupulus%2C%20Montour%20Trail%2C%202024-09-19-1.jpg","recipe-023-img-02-Humulus_lupulus_Montour_Trail_2024-09-19-1.jpg"
"24","23","1","Althaea officinalis, Carnegie, 2025-07-02-4.jpg","https://commons.wikimedia.org/wiki/File:Althaea_officinalis,_Carnegie,_2025-07-02-4.jpg","https://commons.wikimedia.org/wiki/Special:FilePath/Althaea%20officinalis%2C%20Carnegie%2C%202025-07-02-4.jpg","recipe-024-img-01-Althaea_officinalis_Carnegie_2025-07-02-4.jpg"
"25","24","1","Agrimonia eupatoria01.jpg","https://commons.wikimedia.org/wiki/File:Agrimonia_eupatoria01.jpg","https://commons.wikimedia.org/wiki/Special:FilePath/Agrimonia%20eupatoria01.jpg","recipe-025-img-01-Agrimonia_eupatoria01.jpg"
